2025-08-26 13:50:54,336 - WARNING - watch_tickers failed: Connection closed by remote server, closing code 1006
Traceback (most recent call last):
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/crypto_bot/utils/symbol_pre_filter.py", line 225, in _refresh_tickers
    data = await exchange.watch_tickers(to_fetch)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 665, in watch_tickers
    ticker = await self.watch_multi_helper('ticker', 'ticker', symbols, None, params)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 1483, in watch_multi_helper
    return await self.watch_multiple(url, messageHashes, request, messageHashes, subscriptionArgs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ccxt.base.errors.NetworkError: Connection closed by remote server, closing code 1006
2025-08-26 13:51:33,783 - INFO - BLUR/EUR: vol=1907.60 chg=2.21% spr=0.15%
2025-08-26 13:51:33,783 - INFO - BLUR/USD: vol=3362.75 chg=5.05% spr=0.27%
2025-08-26 13:51:33,783 - INFO - BLZ/EUR: vol=298.58 chg=0.39% spr=3.73%
2025-08-26 13:51:33,783 - INFO - BLZ/USD: vol=3863.75 chg=0.90% spr=0.28%
2025-08-26 13:51:33,783 - INFO - BMT/EUR: vol=939.72 chg=0.54% spr=0.05%
2025-08-26 13:51:33,783 - INFO - BMT/USD: vol=2037.41 chg=1.42% spr=0.04%
2025-08-26 13:51:33,783 - INFO - BNB/EUR: vol=271790.71 chg=1.85% spr=0.13%
2025-08-26 13:51:33,783 - INFO - BNB/USD: vol=1659929.81 chg=2.14% spr=0.02%
2025-08-26 13:51:33,784 - INFO - BNB/USDT: vol=95344.30 chg=2.21% spr=0.23%
2025-08-26 13:51:33,784 - INFO - BNC/EUR: vol=24.22 chg=-8.44% spr=9.00%
2025-08-26 13:51:33,784 - INFO - BNC/USD: vol=2698.47 chg=0.86% spr=7.31%
2025-08-26 13:51:33,784 - INFO - BNT/EUR: vol=5169.96 chg=2.89% spr=0.14%
2025-08-26 13:51:33,784 - INFO - BNT/USD: vol=5226.91 chg=1.38% spr=0.21%
2025-08-26 13:51:33,784 - INFO - BOBA/EUR: vol=257.73 chg=1.66% spr=0.88%
2025-08-26 13:51:33,784 - INFO - BOBA/USD: vol=4784.79 chg=4.23% spr=0.32%
2025-08-26 13:51:33,784 - INFO - BODEN/EUR: vol=68.59 chg=4.60% spr=7.02%
2025-08-26 13:51:33,784 - INFO - BODEN/USD: vol=6538.95 chg=-0.57% spr=1.81%
2025-08-26 13:51:33,784 - INFO - BOND/EUR: vol=206.69 chg=0.14% spr=4.21%
2025-08-26 13:51:33,784 - INFO - BOND/USD: vol=4289.60 chg=0.79% spr=1.74%
2025-08-26 13:51:33,784 - INFO - BONK/EUR: vol=129842.37 chg=5.58% spr=0.03%
2025-08-26 13:51:33,784 - INFO - BONK/USD: vol=4157884.92 chg=5.66% spr=0.03%
2025-08-26 13:51:33,784 - INFO - BRICK/EUR: vol=568.31 chg=0.29% spr=7.19%
2025-08-26 13:51:33,784 - INFO - BRICK/USD: vol=973.44 chg=1.97% spr=1.39%
2025-08-26 13:51:33,784 - INFO - BSX/EUR: vol=598.59 chg=1.39% spr=6.04%
2025-08-26 13:51:33,784 - INFO - BSX/USD: vol=6657.39 chg=-5.24% spr=1.76%
2025-08-26 13:51:33,784 - INFO - BTT/EUR: vol=4031.85 chg=1.06% spr=2.45%
2025-08-26 13:51:33,784 - INFO - BTT/USD: vol=13985.22 chg=2.30% spr=0.30%
